time,rateConstant,difficulty,ratio
0.0,1.0,1.0,1.0
60000.0,1.0,1.0,1.0
120000.0,1.0,1.0,1.0
180000.0,1.0,1.0,1.0
240000.0,1.0,1.0,1.0
300000.0,1.0,1.0,1.0
360000.0,1.0,1.0,1.0
420000.0,1.0,1.0,1.0
480000.0,1.0,1.0,1.0
540000.0,1.0,1.0,1.0
600000.0,1.0,1.0,1.0
660000.0,1.0,1.0,1.0
720000.0,1.0,1.0,1.0
780000.0,1.0,1.0,1.0
840000.0,1.0,1.0,1.0
900000.0,1.0,1.0,1.0
960000.0,1.0,1.0,1.0
1020000.0,1.0,1.0,1.0
1080000.0,1.0,1.0,1.0
1140000.0,1.0,1.0,1.0
1200000.0,1.0,1.0,1.0
1260000.0,1.0,1.0,1.0
1320000.0,1.0,1.0,1.0
1380000.0,1.0,1.0,1.0
1440000.0,1.0,1.0,1.0
1500000.0,1.0,1.0,1.0
1560000.0,1.0,1.0,1.0
1620000.0,1.0,1.0,1.0
1680000.0,1.0,1.0,1.0
1740000.0,1.0,1.0,1.0
1800000.0,1.0,1.0,1.0
1860000.0,1.0,1.0,1.0
1920000.0,1.0,1.0,1.0
1980000.0,1.0,1.0,1.0
2040000.0,1.0,1.0,1.0
2100000.0,1.0,1.0,1.0
2160000.0,1.0,1.0,1.0
2220000.0,1.0,1.0,1.0
2280000.0,1.0,1.0,1.0
2340000.0,1.0,1.0,1.0
2400000.0,1.0,1.0,1.0
2460000.0,1.0,1.0,1.0
2520000.0,1.0,1.0,1.0
2580000.0,1.0,1.0,1.0
2640000.0,1.0,1.0,1.0
2700000.0,1.0,1.0,1.0
2760000.0,1.0,1.0,1.0
2820000.0,1.0,1.0,1.0
2880000.0,1.0,1.0,1.0
2940000.0,1.0,1.0,1.0
3000000.0,1.0,1.0,1.0
3060000.0,1.0,1.0,1.0
3120000.0,1.0,1.0,1.0
3180000.0,1.0,1.0,1.0
3240000.0,1.0,1.0,1.0
3300000.0,1.0,1.0,1.0
3360000.0,1.0,1.0,1.0
3420000.0,1.0,1.0,1.0
3480000.0,1.0,1.0,1.0
3540000.0,1.0,1.0,1.0
3600000.0,1.0,1.0,1.0
3660000.0,1.0,1.0,1.0
3720000.0,1.0,1.0,1.0
3780000.0,1.0,1.0,1.0
3840000.0,1.0,1.0,1.0
3900000.0,1.0,1.0,1.0
3960000.0,1.0,1.0,1.0
4020000.0,1.0,1.0,1.0
4080000.0,1.0,1.0,1.0
4140000.0,1.0,1.0,1.0
4200000.0,1.0,1.0,1.0
4260000.0,1.0,1.0,1.0
4320000.0,1.0,1.0,1.0
4380000.0,1.0,1.0,1.0
4440000.0,1.0,1.0,1.0
